"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","startUrl","symbols/0","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","urls/1/display_url","urls/1/expanded_url","urls/1/url","urls/2/display_url","urls/2/expanded_url","urls/2/url","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/screen_name","user_mentions/3/id_str","user_mentions/3/name","user_mentions/3/screen_name","user_mentions/4/id_str","user_mentions/4/name","user_mentions/4/screen_name","view_count"
"1571495284366249986","2022-09-18T13:44:07.000Z","0","HOTEL MANAGEMENT OF UNIVERSITAS DIAN NUSWANTORO -  ppt download https://t.co/A1uiKxsZEO",,,,,,,,,,,,,,,,,,,,,,"1571495284366249986",,,,,,,,,"0","0","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/ns_ime/status/1571495284366249986","slideplayer.info/slide/15893973…","https://slideplayer.info/slide/15893973/#.Yycgm7BfEVA.twitter","https://t.co/A1uiKxsZEO",,,,,,,,,,,,,,,,,,,,,,
"1506959952442970120","2022-03-24T11:44:50.000Z","0","Organized by Indonesian Young Scientist Association collaboration with BUCA IMSEF Turkey, Departement of Food Science and Technology IPB University, and Universitas Dian Nuswantoro.

#JAYATEKNOLOGI
#HIMATEPAUH","JAYATEKNOLOGI","HIMATEPAUH",,,,,,,,,,,,,,,,,,,,"1506960227123761155",,,,,,,,,"0","0","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/HIMATEPA_UH/status/1506960227123761155",,,,,,,,,,,,,,,,,,,,,,,,,
"1497156980129280005","2022-02-25T10:30:40.000Z","0","bekerja sama dengan Food Science and Technology Department, Bogor Agricultural University (IPB), Universitas Dian Nuswantoro (UDINUS) and Buca Municipality Kizilcullu Science and Art Center, BUCA IMSEF (International Music, Science, Energy, and Engineering Fair),",,,,,,,,,,,,,,,,,,,,,,"1497157090338832384",,,,,,,,,"1","0","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/mrl_upi/status/1497157090338832384",,,,,,,,,,,,,,,,,,,,,,,,,
"1481162598460837894","2022-01-12T07:14:16.000Z","2846","Atas performa ciamiknya di Piala AFF 2020, Pratama Arhan mendapatkan beasiswa pendidikan S1 dan S2 dari Universitas Dian Nuswantoro (Udinus) Semarang. 👨‍🎓 https://t.co/6HLWSPF6LD",,,,,,,,,,,,,,,,,,,,,,"1481162598460837894","https://pbs.twimg.com/media/FI4liIcaAAIlawM.jpg","photo",,,,,,,"188","224","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/idextratime/status/1481162598460837894",,,,,,,,,,,,,,,,,,,,,,,,,
"1460616714349998081","2021-11-16T14:32:16.000Z","0","Entrepreneurship Center Universitas Dian Nuswantoro -  ppt download https://t.co/6ldjrHelfC",,,,,,,,,,,,,,,,,,,,,,"1460616714349998081",,,,,,,,,"0","0","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/oecok_bahar/status/1460616714349998081","slideplayer.info/slide/2793968/…","https://slideplayer.info/slide/2793968/#.YZPA1dda6KE.twitter","https://t.co/6ldjrHelfC",,,,,,,,,,,,,,,,,,,,,,
"1443177460774887425","2021-09-29T11:34:54.000Z","0","Just posted a photo @ Universitas Dian Nuswantoro https://t.co/JaMtpFAUqW",,,,,,,,,,,,,,,,,,,,,,"1443177460774887425",,,,,,,,,"0","0","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/ninna_izwan/status/1443177460774887425","instagram.com/p/CUZ2_CDJJFB/…","https://www.instagram.com/p/CUZ2_CDJJFB/?utm_medium=twitter","https://t.co/JaMtpFAUqW",,,,,,,,,,,,,,,,,,,,,,
"1403230576086335489","2021-06-11T06:00:14.000Z","0","IIEBM is delighted to partner with Universitas Dian Nuswantoro (Indonesia) for an International Student Exchange program. IIEBM heartily welcomes all the participating students.
#studentexchange #student #pgdm #mba #education #indusbusinessschool #iiebm https://t.co/3pJcUhGiKS","studentexchange","student","pgdm","mba","education","indusbusinessschool","iiebm",,,,,,,,,,,,,,,"1403230576086335489","https://pbs.twimg.com/media/E3lGxYiXwAIRLj_.jpg","photo",,,,,,,"0","0","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/IndusBizSchool/status/1403230576086335489",,,,,,,,,,,,,,,,,,,,,,,,,
"1402947997659406336","2021-06-10T11:17:22.000Z","0","Let Knowledge Prevail !! 
— IIEBM Motto. 

It gives me immense pleasure to inform you that we IIEBM, Indus Business School have partnered with Universitas Dian Nuswantoro (Indonesia) for an International Student Exchange program.

We extend a hearty welcome to their students. https://t.co/c147N3F75R",,,,,,,,,,,,,,,,,,,,,,"1402947997659406336","https://pbs.twimg.com/media/E3hFxI9UcAYBuOZ.jpg","photo",,,,,,,"0","0","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/Jaisingh_IIEBM/status/1402947997659406336",,,,,,,,,,,,,,,,,,,,,,,,,
"1367173577133330432","2021-03-03T18:02:36.000Z","1","A member on a #leak forum claiming to have #Shell access and #Database of famous #university of #Indonesia 'Universitas Dian Nuswantoro'

Member selling the Web Shell + Injection at $800.
#breach #deepwebnews #infosec #education #security 
@udinus_smg @id_cert @jakpost https://t.co/O8gpLk83LT","leak","Shell","Database","university","Indonesia","breach","deepwebnews","infosec","education","security",,,,,,,,,,,,"1367173577133330432","https://pbs.twimg.com/media/Evkr5aSVoAI1zn2.jpg","photo","https://pbs.twimg.com/media/Evkr5aTVgAMTNZT.jpg","photo","https://pbs.twimg.com/media/Evkr5aTVoAM0-II.png","photo","https://pbs.twimg.com/media/Evkr5aSVgAQ6DTb.jpg","photo","0","4","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/SecurChronicle/status/1367173577133330432",,,,,,,,,,"710102638017163264","ID_CERT","id_cert","68577507","The Jakarta Post","jakpost",,,,,,,,,,
"1318173630258270208","2020-10-19T12:54:20.000Z","1","MUGLO is a tool designed by the IECE Team from Universitas Dian Nuswantoro. This teams consist of Yoga Sugama, Inas Suhailah, and Anisa Zenith. MUGLO (Multifunction Glasses for Blind People) offers a function as assistive technology to help a blind people or people with visual-",,,,,,,,,,,,,,,,,,,,,,"1318173639800365056",,,,,,,,,"1","0","https://twitter.com/search?q=Universitas%20Dian%20Nuswantoro&src=typed_query",,"https://twitter.com/IndiscoUndip/status/1318173639800365056",,,,,,,,,,,,,,,,,,,,,,,,,
